order_id,customer_id,order_date,order_status,total_amount,payment_method,shipping_country,promo_id
a04629aa-fdf3-4899-b581-56dbb9a12572,45e913c6-8134-49a3-95c0-c9256f165dab,2024-04-20,delivered,4001.82,debit_card,Canada,
c69d59ec-0978-4670-8a03-f2c81ff09d59,1afac992-3c50-43e6-98f3-b9e3bc13c6ba,2024-04-19,delivered,347.36,credit_card,US,
874f0f0f-e7db-4e55-86e3-8c3dc301252c,9b954335-f41c-473d-b707-8bbb94f32d13,2023-04-17,confirmed,96.92,credit_card,US,
c9f89e3b-eedf-4442-b3e0-eedb8084dc69,e99aec32-80d9-4b78-bda0-4e18e25cd8a5,2023-07-17,delivered,582.05,credit_card,US,a076da24-3aaa-479a-a77f-db5f1d75711b
d9d0acec-f9fe-477e-a8b4-191468f419ed,3c991bd4-46fe-4a0c-bc7a-c117335152fa,2023-09-23,delivered,1777.12,debit_card,US,
6b7e5beb-b58b-4b38-a12b-0d12186e793b,0d9a98e9-9084-47f3-ae6f-39c40005dcb9,2024-03-17,delivered,322.36,credit_card,US,
e1b5e3c1-6a1c-4f19-9f9a-94f42868b2a9,3c991bd4-46fe-4a0c-bc7a-c117335152fa,2023-01-26,confirmed,3160.46,credit_card,US,69bf9c14-599d-40b6-961c-ea782e45942a
4d032329-2331-4e9f-889b-98f9c28dd456,27b818ea-629b-4095-b504-4a15a922db39,2024-03-27,returned,31.66,apple_pay,US,
99c0a235-81ac-4a24-bdf3-8edfa4e38b8f,e99aec32-80d9-4b78-bda0-4e18e25cd8a5,2023-10-19,delivered,163.84,credit_card,US,
7b749051-705a-4297-b7b0-e6d2b355d6a3,80de749e-464b-4ec8-b46f-84094aae4f02,2023-04-19,delivered,1413.78,paypal,UK,
8b39ea40-ff7d-42c8-9d74-e57f70de2496,7167c83a-16a1-4b18-b2a2-7cace54172c0,2024-04-11,delivered,173.87,apple_pay,Germany,
d21453f9-131b-45e8-8b4b-472b2f087002,fc7bc133-f81c-4e2d-8460-5dd8ac802206,2023-07-14,delivered,457.1,debit_card,UK,
f0ad7298-4716-452a-8eb9-0138b24c9daa,162cf92f-8972-44a9-949b-da75c8847a9a,2023-12-26,delivered,3646.4,paypal,US,
f5a30fc2-edde-496e-92e0-1172f113d7dd,78807e0c-0188-49f0-a6ae-0eb2249e1eb4,2023-03-29,delivered,2537.72,credit_card,Canada,
34794af1-d90e-4e3d-a04a-dd0bb5d30b30,dd75475c-5d27-4401-9bbd-a9364e86b364,2024-04-26,delivered,188.23,debit_card,US,
b8c4edf5-46f8-4328-beaf-38905c95d7e3,e5a0ba19-6693-4036-b995-b3b2a41a678a,2024-03-15,delivered,7947.4,credit_card,UK,
34bd031f-75ca-4151-a469-073a3d456ddd,68cd38b1-2976-432b-9782-71e81b37ed97,2024-02-29,delivered,1257.14,debit_card,US,
b0fee479-fb11-415c-9dd2-dee451e194f0,885e9155-5f7f-4b8f-8225-48a4ec882510,2024-04-03,delivered,2017.44,credit_card,US,
5effbffc-17bf-4111-9bd8-84a4b00863c2,5c796213-d509-4978-bb03-5a28a2cf0d59,2024-02-20,delivered,907.59,debit_card,US,
ffd26190-5bc7-4e4c-8870-881b0b4289e7,9242a58a-abf2-4882-a2bd-51ca976582ab,2023-08-28,delivered,607.82,credit_card,US,
83c499dc-cb8a-43ad-8d3d-5e8712be5fbd,e9fa39b5-7e54-45f9-9766-fd33eb31f8c7,2024-01-12,delivered,5.87,credit_card,US,
b0f1ce76-b8de-47e4-9b0a-64a3d04acdb7,d750d318-74f3-426c-a5fd-6baacbe32eed,2024-03-06,pending,1108.19,credit_card,US,
10cd4e62-c5e1-4b17-adc5-dda2d85f5197,8be97fa7-fb9e-4b61-9d8c-3e4064da8b1c,2023-07-26,canceled,2012.48,paypal,Canada,
4cf0226c-d5fd-46ee-9cef-e123e0c5f402,edca91f4-a5df-44e1-83f2-4936c087d640,2023-10-16,delivered,502.05,debit_card,US,
df52ddd8-7e66-4693-9609-bd84a63c8b31,a370220d-7780-4ca2-9844-5debb9f4745f,2024-01-31,in_transit,3877.7,credit_card,US,
1048bf6f-58e8-4f01-9285-dbd685cbc10e,49d7dcc1-2b71-4bff-8ef5-13c6343b3a97,2023-10-31,delivered,4563.11,credit_card,US,
651c5d42-6a61-4527-94a5-f4334fd4fb24,3f7c0611-00d2-427d-91bc-1c21fbfb9aa9,2023-09-08,fulfilling,3242.51,credit_card,US,
